feature,importance
EquivDiameter,1.345798330295563
Area,1.6065247999996115
MajorAxisLength,1.8535467359126045
Extent,2.1943974509680535
Solidity,2.457460325382806
ConvexArea,2.5497313851875387
Eccentricity,2.5991581109862634
ShapeFactor3,2.900561138687375
Perimeter,3.121334849717055
AspectRation,3.466040765030512
ShapeFactor4,3.961039984894891
roundness,6.75507372930428
ShapeFactor1,13.32480599155089
ShapeFactor2,24.29594668499052
MinorAxisLength,27.568579717092053
