XGBoost,LightGBM,CatBoost,ANN
1.7740009647028965,1.7605498779650288,1.9081495899171086,2.371852690488642
1.5939401582157204,1.4037561845749318,1.6235766681292083,1.133393067039878
1.45233000441799,1.2721377844718709,1.4212405768661045,0.7825152878665371
1.336742760972401,1.084461396350914,1.2762405119477347,0.6492897691994794
1.2386672757116202,1.141846535357638,1.1625835457628237,0.5758674125697864
1.153915331745398,1.060891435669967,1.0739839682681513,0.531960604998942
1.0818876424799442,0.9248850419870488,0.999607562184781,0.5015059597330681
1.020068037322187,0.8630438076922958,0.937569721150796,0.48002807366059075
0.9632943853931477,0.8095692422121831,0.8832404511481171,0.4660157032574911
0.9136997287354757,0.9689728899431039,0.8390299198194306,0.4544234956601941
0.8692065650866101,2.0459491885145122,0.8006399807346106,0.4467549457722827
0.8297187612751338,1.861507099823371,0.766252958412871,0.4388335431691126
0.7947972152959017,5.3073225978739,0.7359055315414874,0.4342606926738878
0.7641471709322741,3.8535611579006246,0.708578821548932,0.4289359144336641
0.735725112145967,4.5175084715953835,0.6858053744816833,0.4269225586156405
0.7113510798125129,4.095643903245514,0.665477112251713,0.4214952970712571
0.6879700452402195,4.4267440874735495,0.6463385384684699,0.4200594788724268
0.6673805713497122,4.448351599165977,0.6297474687907046,0.41680644005321715
0.6487657608791912,4.902538631320467,0.614526593983042,0.4150536354383434
0.6322919781283131,,0.6019990264901145,0.41631004240335184
0.6175422828654292,,0.5899476371339762,0.4117553251761425
0.6034470155326713,,0.5783013138302763,0.41215768784612045
0.5909958165148738,,0.5683476902017903,0.4093676256773625
0.579958492024677,,0.5596898449151225,0.4086573924983967
0.570160607884093,,0.5517199653208401,0.4061206721829964
0.5603221289911295,,0.5438908300380839,0.40668840457123284
0.5518172130106003,,0.5367299844159421,0.4053602459294616
0.5445814987493,,0.5306721041133327,0.40312057979985116
0.5377386969296638,,0.5252855197758173,
0.5314077459764606,,0.5205763759609533,
0.5260261953072598,,0.516284775468985,
0.5203363462656815,,0.5118873389729285,
0.5159810712018351,,0.5078157428270139,
0.5114794166753768,,0.5042117037671939,
0.5072736587580733,,0.5008470561595604,
0.5041524265655696,,0.49772711610026477,
0.5007648510022427,,0.49476657121566814,
0.49853042716507523,,0.49164591552593284,
0.49553719324076895,,0.4890054181703654,
0.4936562743008606,,0.48622612975014506,
0.49151151349812044,,0.48445229588831284,
0.48947258125550636,,0.4823033822126231,
0.48779231952283325,,0.48021336234243084,
0.48618708216924994,,0.479449294391428,
0.484927155539941,,0.47718328571885155,
0.4833677076957044,,0.47523761020354227,
0.48274854179325066,,0.4735738127107627,
0.48136049592060837,,0.4726819706316666,
0.48067314687852314,,0.4712003782633577,
0.4795020277506801,,0.47030234874900156,
0.4783014955512417,,0.4694660774230118,
0.47776568100990585,,0.4680560155011018,
0.47730158788990473,,0.4671762142114375,
0.47699064539349456,,0.465633925700613,
0.47640907619823153,,0.4643643704458114,
0.4758120457458449,,0.4642577120752013,
0.4756338456181169,,0.4629437537492232,
0.4755203782915678,,0.46211831604467923,
0.47525677433496544,,0.46124923227339076,
0.47481568482633574,,0.45976581164305674,
0.4748435371034727,,0.45921947202671665,
0.4750371310913696,,0.4582608179300067,
0.475077111106317,,0.45785202183986357,
0.4751021590592276,,0.4570979265356394,
0.4748398787882228,,0.45627343557867944,
0.4749073805434145,,0.4557907704286279,
0.474997814401026,,0.455021340693787,
0.4750425393918035,,0.4539309298833225,
0.4754591985040997,,0.4529950673205908,
0.4757866821437585,,0.4523535760599764,
0.47588237286484225,,0.45173574642096376,
0.4758721710331836,,0.45154781153874174,
0.47603740566177905,,0.4506989377803762,
0.47628843123142134,,0.44976773501665535,
0.47623634818437804,,0.44919391823564647,
0.476032274817251,,0.44870628817119884,
0.4762611243653837,,0.4480820004755753,
0.47629737898272284,,0.44754973092949507,
0.4767282599817932,,0.4469436232624815,
0.4773172146833827,,0.44674203509238414,
0.4782927300089242,,0.4465191417513019,
0.4785869822616193,,0.44620922868229207,
0.47828214520312295,,0.4455757147812432,
0.4786914327137876,,0.44471302938132823,
0.47898707557652936,,0.44407449984872455,
0.4791592141812584,,0.443273669580839,
0.4795948577157449,,0.44262691553409994,
0.48017327410726274,,0.44212257199458077,
0.4806185704162173,,0.44167681104402995,
0.4813645146941165,,0.4413069267766474,
0.48179395861796587,,0.4408299001768897,
0.4820437098716403,,0.4408431464146886,
0.48231253944706476,,0.440712077219532,
0.48279044998753473,,0.4401932982739005,
0.4831385030699625,,0.43969554618903567,
0.48404430427510303,,0.43965635636111644,
0.48440984456440594,,0.43938736964751346,
0.48484678419766425,,0.439186330010416,
0.48534562807429943,,0.43869467590682804,
0.48538823380205887,,0.43848430719252307,
