feature,importance
Extent,0.11290101734513586
EquivDiameter,0.12210602542358019
Solidity,0.12443206995149252
MajorAxisLength,0.12473911100835132
Perimeter,0.12721424554208094
ConvexArea,0.1287777997972193
MinorAxisLength,0.13348868529596392
ShapeFactor2,0.13524431799023875
ShapeFactor3,0.13685512408215275
Eccentricity,0.13687630728789496
ShapeFactor4,0.1371181837141438
Area,0.14293882953905293
AspectRation,0.14616752422756443
ShapeFactor1,0.15829259667320592
roundness,0.15960703350930483
