feature,importance
Extent,0.008788415151414139
Solidity,0.01509160265394494
ShapeFactor4,0.027214607270052073
Perimeter,0.05051824669851861
roundness,0.062315574572724686
Area,0.06676306516898298
Eccentricity,0.06944918713790198
MajorAxisLength,0.07374306725045236
EquivDiameter,0.07394215141656972
ShapeFactor2,0.07441387353888232
ConvexArea,0.0866624635168424
AspectRation,0.08932376953183811
MinorAxisLength,0.09238004805775418
ShapeFactor3,0.09928730215610876
ShapeFactor1,0.11010662587801275
